title,link,category,id,duration,Tags
daily vlog1,https://www.douyin.com/video/7367675881617231141,daily_vlog,7367675881617231141,27,"compus life, high school"
daily vlog2,https://www.douyin.com/video/6978409764753542404,daily_vlog,6978409764753542404,32,"daily life, video shooting process"
daily vlog3,https://www.douyin.com/video/7268628482895203603,daily_vlog,7268628482895203603,36,"diet recording, discipline"
daily vlog4,https://www.douyin.com/video/7294104611634351372,daily_vlog,7294104611634351372,9,"daily life, plog"
daily vlog5,https://www.douyin.com/video/7410637810631298304,daily_vlog,7410637810631298304,14,"compus life, high school"
daily vlog6,https://www.douyin.com/video/7011808898533313792,daily_vlog,7011808898533313792,41,"compus life, school vlog"
daily vlog7,https://www.douyin.com/video/7022200635114261775,daily_vlog,7022200635114261775,60,"weekend vlog, video shooting process"
daily vlog8,https://www.douyin.com/video/7280921484241947940,daily_vlog,7280921484241947940,27,"life without smartphone, transformation"
daily vlog9,https://www.douyin.com/video/7419002577255222528,daily_vlog,7419002577255222528,24,"compus life, roomate"
daily vlog10,https://www.douyin.com/video/7175416218017385788,daily_vlog,7175416218017385788,41,"compus life, video shooting process"
daily vlog11,https://www.douyin.com/video/7356825122130431247,daily_vlog,7356825122130431247,35,"compus life, school vlog"
daily vlog12,https://www.douyin.com/video/7418918749245394195,daily_vlog,7418918749245394195,23,"couple life, travel"
daily vlog13,https://www.douyin.com/video/7063391781555014915,daily_vlog,7063391781555014915,37,"daily life, cinema, movie"
daily vlog14,https://www.douyin.com/video/7081244931951430942,daily_vlog,7081244931951430942,77,housewife
daily vlog15,https://www.douyin.com/video/7363890900944096523,daily_vlog,7363890900944096523,47,"housewife, Babysitting"
daily vlog16,https://www.douyin.com/video/7394793267138694435,daily_vlog,7394793267138694435,28,stay home
daily vlog17,https://www.douyin.com/video/7361360100822486298,daily_vlog,7361360100822486298,45,"we media, daily life"
daily vlog18,https://www.douyin.com/video/7346415421911731483,daily_vlog,7346415421911731483,10,"international students, part-time job"
daily vlog19,https://www.douyin.com/video/7418249892730096936,daily_vlog,7418249892730096936,32,"compus life, roomate"
daily vlog20,https://www.douyin.com/video/7418799665388277042,daily_vlog,7418799665388277042,12,couple life
dressing1,https://www.douyin.com/video/7255620020145900837,dressing,7255620020145900837,16,"men's clothing, recommendation"
dressing2,https://www.douyin.com/video/7269588153898421556,dressing,7269588153898421556,19,"outfit recommendation, chubby girl, early autumn"
dressing3,https://www.douyin.com/video/7221854185443052838,dressing,7221854185443052838,9,"neutralstyle, outfit recommendation, temperamental style"
dressing4,https://www.douyin.com/video/7266749192750615823,dressing,7266749192750615823,13,"mommy crossdressing, outfit recommendation"
dressing5,https://www.douyin.com/video/7228535187544640829,dressing,7228535187544640829,13,"fitness wear, crossdressing"
dressing6,https://www.douyin.com/video/7325420058887343400,dressing,7325420058887343400,16,"men's clothing, clean"
dressing7,https://www.douyin.com/video/7315363504918138166,dressing,7315363504918138166,10,"men's clothing, outfit recommendation"
dressing8,https://www.douyin.com/video/7392569809113730355,dressing,7392569809113730355,16,"outfit recommendation, dressing formula"
dressing9,https://www.douyin.com/video/7382517728688606516,dressing,7382517728688606516,13,"temperamental style, outfit recommendation"
dressing10,https://www.douyin.com/video/7243384307476090173,dressing,7243384307476090173,47,dress
dressing11,https://www.douyin.com/video/7406927887791557897,dressing,7406927887791557897,12,"closet, outfit recommendation, fashion design"
